12-02 11:05:31.709 17251 17251 F DEBUG   : Process name is com.zonda.zondaapp, not key_process
12-02 11:05:31.709 17251 17251 F DEBUG   : Cmdline: com.zonda.zondaapp
12-02 11:05:31.709 17251 17251 F DEBUG   : pid: 15433, tid: 16315, name: hades  >>> com.zonda.zondaapp <<<
12-02 11:05:31.710 17251 17251 F DEBUG   :       #03 pc 0000000000281d0c  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (facebook::react::RNCAndroidDialogPickerProps::~RNCAndroidDialogPickerProps()+40) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #04 pc 0000000000281784  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (facebook::react::RNCAndroidDialogPickerProps::~RNCAndroidDialogPickerProps()+32) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #05 pc 00000000002852c4  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #06 pc 00000000002852a0  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (void std::__ndk1::allocator_traits<std::__ndk1::allocator<facebook::react::RNCAndroidDialogPickerProps> >::destroy[abi:ne180000]<facebook::react::RNCAndroidDialogPickerProps, void, void>(std::__ndk1::allocator<facebook::react::RNCAndroidDialogPickerProps>&, facebook::react::RNCAndroidDialogPickerProps*)+24) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #07 pc 0000000000285254  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (_ZNSt6__ndk120__shared_ptr_emplaceIN8facebook5react27RNCAndroidDialogPickerPropsENS_9allocatorIS3_EEE21__on_zero_shared_implB8ne180000IS5_TnNS_9enable_ifIXntsr7is_sameINT_10value_typeENS_19__for_overwrite_tagEEE5valueEiE4typeELi0EEEvv+56) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #08 pc 00000000002850a8  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #09 pc 00000000001fc1c0  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #10 pc 00000000001fc164  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #11 pc 0000000000236038  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #12 pc 0000000000235edc  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (facebook::react::ShadowNode::~ShadowNode()+100) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #13 pc 0000000000235760  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (facebook::react::LayoutableShadowNode::~LayoutableShadowNode()+20) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #14 pc 00000000002356a0  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (facebook::react::YogaLayoutableShadowNode::~YogaLayoutableShadowNode()+72) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #15 pc 00000000002835e8  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (_ZN8facebook5react18ConcreteShadowNodeIXadsoKcL_ZNS0_35RNCAndroidDialogPickerComponentNameEEEENS0_24YogaLayoutableShadowNodeENS0_27RNCAndroidDialogPickerPropsENS0_34RNCAndroidDialogPickerEventEmitterENS0_27RNCAndroidDialogPickerStateEED2Ev+20) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #16 pc 0000000000283434  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (_ZN8facebook5react22ConcreteViewShadowNodeIXadsoKcL_ZNS0_35RNCAndroidDialogPickerComponentNameEEEENS0_27RNCAndroidDialogPickerPropsENS0_34RNCAndroidDialogPickerEventEmitterENS0_27RNCAndroidDialogPickerStateEED2Ev+20) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #17 pc 000000000028379c  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (facebook::react::RNCAndroidDialogPickerShadowNode::~RNCAndroidDialogPickerShadowNode()+36) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #18 pc 0000000000283768  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
12-02 11:05:31.710 17251 17251 F DEBUG   :       #19 pc 0000000000283744  /data/app/~~TXpzYzd0JYoAUIB7hBIxiA==/com.zonda.zondaapp-q70qCHWKxpZh3wgM7Z4_Sg==/base.apk!libappmodules.so (offset 0x14c0000) (void std::__ndk1::allocator_traits<std::__ndk1::allocator<facebook::react::RNCAndroidDialogPickerShadowNode> >::destroy[abi:ne180000]<facebook::react::RNCAndroidDialogPickerShadowNode, void, void>(std::__ndk1::allocator<facebook::react::RNCAndroidDialogPickerShadowNode>&, facebook::react::RNCAndroidDialogPickerShadowNode*)+24) (BuildId: 7fd3a7bfe1895b1d2abe681e958d22d4d8a71843)
